category,Average Backoff,Minimum Backoff,Maximum Backoff,Median Backoff
1 Dec 2021,0,0,0,0
2 Dec 2021,0,0,0.0625,0
3 Dec 2021,0,0,0.0417,0
4 Dec 2021,0,0,0,0
5 Dec 2021,0.025,0,0.075,0
6 Dec 2021,0,0,0.1084,0
7 Dec 2021,0,0,0,0
8 Dec 2021,0,0,0,0
9 Dec 2021,0,0,0,0
10 Dec 2021,0,0,0,0
11 Dec 2021,0,0,0,0
12 Dec 2021,0,0,0.0233,0
13 Dec 2021,0,0,0.0233,0
14 Dec 2021,0,0,0.0164,0
15 Dec 2021,0,0,0.0172,0
16 Dec 2021,0.0857,0,0.3714,0.0857
17 Dec 2021,0.0645,0,0.2903,0.0968
18 Dec 2021,0,0,0,0
19 Dec 2021,0,0,0,0
20 Dec 2021,0,0,0.1176,0
21 Dec 2021,0,0,0.0513,0
22 Dec 2021,0,0,0.0323,0
23 Dec 2021,0.0364,0,0.2,0.0182
24 Dec 2021,0,0,0.08,0.02
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0.0556,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0