category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Dec 2021,536,536,536,536
2 Dec 2021,536,536,536,536
3 Dec 2021,536,536,536,536
4 Dec 2021,536,536,536,536
5 Dec 2021,536,536,536,536
6 Dec 2021,536,536,536,536
7 Dec 2021,536,536,536,536
8 Dec 2021,536,536,536,536
9 Dec 2021,536,536,536,536
10 Dec 2021,536,536,536,536
11 Dec 2021,536,536,536,536
12 Dec 2021,536,536,536,536
13 Dec 2021,536,536,536,536
14 Dec 2021,536,536,536,536
15 Dec 2021,536,536,536,536
16 Dec 2021,536,536,536,536
17 Dec 2021,536,536,536,536
18 Dec 2021,536,536,536,536
19 Dec 2021,536,536,536,536
20 Dec 2021,536,536,536,536
21 Dec 2021,536,536,536,536
22 Dec 2021,536,536,536,536
23 Dec 2021,543.2321,543.2321,543.2321,543.2321
24 Dec 2021,536,536,536,536
25 Dec 2021,536,536,536,536
26 Dec 2021,536,536,536,536
27 Dec 2021,536,536,536,536
28 Dec 2021,536,536,536,536
29 Dec 2021,536,536,536,536
30 Dec 2021,536,536,536,536
31 Dec 2021,536,536,536,536