category,Average SndBufLimited,Minimum SndBufLimited,Maximum SndBufLimited,Median SndBufLimited
1 Nov 2021,0,0,0,0
2 Nov 2021,0,0,0,0
3 Nov 2021,0,0,0,0
4 Nov 2021,0,0,0,0
5 Nov 2021,0,0,0,0
6 Nov 2021,0,0,0,0
7 Nov 2021,0,0,0,0
8 Nov 2021,0,0,0,0
9 Nov 2021,0,0,0,0
10 Nov 2021,0,0,0,0
11 Nov 2021,0,0,0,0
12 Nov 2021,0,0,0,0
13 Nov 2021,0,0,0,0
14 Nov 2021,0,0,0,0
15 Nov 2021,0,0,0,0
16 Nov 2021,0,0,0,0
17 Nov 2021,0,0,0,0
18 Nov 2021,0,0,0,0
19 Nov 2021,0,0,0,0
20 Nov 2021,0,0,0,0
21 Nov 2021,0,0,0,0
22 Nov 2021,0,0,0,0
23 Nov 2021,0,0,0,0
24 Nov 2021,0,0,0,0
25 Nov 2021,0,0,0,0
26 Nov 2021,0,0,0,0
27 Nov 2021,0,0,0,0
28 Nov 2021,0,0,0,0
29 Nov 2021,0,0,0,0
30 Nov 2021,0,0,0,0