category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Oct 2021,4.3197,0.0328,27.3279,3.1967
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,1.5,1.5
4 Oct 2021,3.3889,0,24.7778,1.1667
5 Oct 2021,2.4896,0.0139,17.5278,2.0347
6 Oct 2021,2.562,0.0083,17.1942,2.5413
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,4,0,47,1.3333
12 Oct 2021,1.5932,0,12.2373,1.2712
13 Oct 2021,5.125,0,19.75,5
14 Oct 2021,1.4478,0,9.9701,1.4328
15 Oct 2021,1,0,4,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,2.5,0,21.5,0.25
20 Oct 2021,1.5333,0,14.2167,0.9
21 Oct 2021,0,0,0,0
22 Oct 2021,2.5,0,13.3333,1.5
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0.3333,0
26 Oct 2021,1.5556,0.0417,10.6389,1.6111
27 Oct 2021,3.1463,0.0244,20.939,2.378
28 Oct 2021,4.6279,0.0233,33.7209,5.0698
29 Oct 2021,2.7174,0,22.5652,2.4348
30 Oct 2021,4.1739,0,33.913,6.6957
31 Oct 2021,2.2273,0,21.7727,1.5909