category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Sep 2021,0,0,0,0
2 Sep 2021,40000,40000,40000,40000
3 Sep 2021,40000,40000,40000,40000
4 Sep 2021,40000,40000,40000,40000
5 Sep 2021,40000,40000,40000,40000
6 Sep 2021,40000,40000,40000,40000
7 Sep 2021,40000,40000,40000,40000
8 Sep 2021,40000,40000,40000,40000
9 Sep 2021,40296.3333,40000,44000,40000
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,40000,40000,40000,40000
14 Sep 2021,40219.625,40000,41166.6667,40000
15 Sep 2021,40000,40000,40000,40000
16 Sep 2021,40000,40000,40000,40000
17 Sep 2021,40000,40000,40000,40000
18 Sep 2021,40000,40000,40000,40000
19 Sep 2021,40000,40000,40000,40000
20 Sep 2021,40000,40000,40000,40000
21 Sep 2021,40024.7895,40000,40421.0526,40000
22 Sep 2021,40000,40000,40000,40000
23 Sep 2021,40000,40000,40000,40000
24 Sep 2021,40000,40000,40000,40000
25 Sep 2021,40000,40000,40000,40000
26 Sep 2021,0,0,0,0
27 Sep 2021,40169.3333,40000,41777.7778,40000
28 Sep 2021,40096,40000,40800,40000
29 Sep 2021,40009.0909,40000,40181.8182,40000
30 Sep 2021,0,0,0,0