category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Sep 2021,0,0,0,0
2 Sep 2021,9.125,2.5,17.125,9.625
3 Sep 2021,6.8,3,12.1,7.1
4 Sep 2021,8,3,13.8,9
5 Sep 2021,7.5,2.5,13,8.5
6 Sep 2021,9.8529,3,18.1176,10.2941
7 Sep 2021,8.7143,3,15.5714,9.1429
8 Sep 2021,6,2,11.1667,6.3333
9 Sep 2021,12,3.6667,21,12.6667
10 Sep 2021,0,0,0,0
11 Sep 2021,0,0,0,0
12 Sep 2021,0,0,0,0
13 Sep 2021,10.5909,3.0455,19.3636,10.5909
14 Sep 2021,10.6667,3,20.0833,11.2917
15 Sep 2021,9.625,3.0417,17.5,10.0833
16 Sep 2021,11.5,3,21.25,12
17 Sep 2021,11.375,3,21,11.9167
18 Sep 2021,12.125,3,22.2083,12.4167
19 Sep 2021,12.3,3,22.5,13
20 Sep 2021,10,3,18.7143,10.2857
21 Sep 2021,9.4211,3,17.3158,9.3684
22 Sep 2021,7.3333,3,12.6667,7.3333
23 Sep 2021,7,3,15,7
24 Sep 2021,11.2,3,21,11.4
25 Sep 2021,9,3,16.4,9.3
26 Sep 2021,0,0,0,0
27 Sep 2021,10.3333,3,18.7778,10.3333
28 Sep 2021,9.85,3,17.95,10
29 Sep 2021,10.5,3,19.5227,10.7273
30 Sep 2021,0,0,0,0