category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Feb 2022,1.3864,0,10.5682,0.8636
2 Feb 2022,0.6389,0,6.0278,0.4583
3 Feb 2022,0.5102,0,3.8776,1.0612
4 Feb 2022,0.7692,0,6.8462,1.1538
5 Feb 2022,0.871,0,10.8065,4.8387
6 Feb 2022,2.4881,0,17.4762,0.881
7 Feb 2022,2.9767,0,21.7442,2.4651
8 Feb 2022,1.8525,0,15.1148,1.5902
9 Feb 2022,2.5192,0,17.4231,1.6538
10 Feb 2022,0.6901,0,4.9859,0.9437
11 Feb 2022,0.125,0,1.375,0.3125
12 Feb 2022,0.1154,0,1.6154,0.1154
13 Feb 2022,0,0,0.4118,0
14 Feb 2022,0.9259,0.0556,7.9259,0.9259
15 Feb 2022,0.9,0,6.3,0.725
16 Feb 2022,0.8846,0,7.5769,1.1282
17 Feb 2022,0,0,0,0
18 Feb 2022,0,0,0,0
19 Feb 2022,0,0,0,0
20 Feb 2022,0,0,0,0
21 Feb 2022,1,0,8.7353,1.7353
22 Feb 2022,0,0,0,0
23 Feb 2022,0,0,0,0
24 Feb 2022,0.8667,0,5.9333,0.6222
25 Feb 2022,0.7179,0,4.5897,0.5128
26 Feb 2022,0.3871,0,1.8065,0.6774
27 Feb 2022,0.6275,0,3.098,0.4706
28 Feb 2022,1.4516,0,12.5161,1.2581