category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Jan 2022,42396.7619,40000,69523.8095,41714.2857
2 Jan 2022,41680.4286,40000,56952.381,43428.5714
3 Jan 2022,40990.2308,40000,64000,40000
4 Jan 2022,43217.65,40000,70400,44633.3333
5 Jan 2022,43535.8095,40000,64809.5238,43690.4762
6 Jan 2022,41749,40000,62346.6667,41786.6667
7 Jan 2022,41612.5517,40000,58344.8276,40551.7241
8 Jan 2022,43535.7826,40000,78086.9565,46173.913
9 Jan 2022,47257.6429,40000,84000,50571.4286
10 Jan 2022,42520.45,40000,76500,50650
11 Jan 2022,43669.8286,40000,65142.8571,47028.5714
12 Jan 2022,46311.2593,40000,83802.4691,50740.7407
13 Jan 2022,43408,40000,62608.6957,41391.3043
14 Jan 2022,42301.1364,40000,60363.6364,42090.9091
15 Jan 2022,49767.7727,40000,108000,42909.0909
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,43212.3947,40000,58631.5789,43263.1579
19 Jan 2022,49048.8372,40000,98883.7209,46186.0465
20 Jan 2022,44636.2857,40000,73000,50714.2857
21 Jan 2022,45811.1667,40000,83555.5556,46000
22 Jan 2022,52454.2727,40000,119212.1212,54212.1212
23 Jan 2022,51548.087,40000,124000,56173.913
24 Jan 2022,43041.54,40000,58880,43880
25 Jan 2022,46652.2727,40000,80000,44787.8788
26 Jan 2022,47805.7015,40000,91343.2836,45582.0896
27 Jan 2022,48453.4468,40000,99659.5745,48638.2979
28 Jan 2022,40545.85,40000,53800,40300
29 Jan 2022,41752.6905,40000,63238.0952,41809.5238
30 Jan 2022,42320.2963,40000,62370.3704,41888.8889
31 Jan 2022,40860.2,40000,55200,44000