category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Jan 2022,31921.2857,7861.6667,89796.5714,28854.0952
2 Jan 2022,19250.619,5999.619,43812.2381,17282.2857
3 Jan 2022,5995.2692,1003.6538,28434.5769,4354.6538
4 Jan 2022,14164.7833,4668.9333,40313.1167,12857.95
5 Jan 2022,9836.6786,2791.4286,28325.631,10312.0476
6 Jan 2022,12443.8667,3001.8667,35338.8133,15050.72
7 Jan 2022,6404.5862,1983.931,18715.1034,6112.3103
8 Jan 2022,13169.3043,4455.6957,31714.1739,12485.8261
9 Jan 2022,28801.3929,9152.6071,71528.0357,31990.8571
10 Jan 2022,20808.2,6404.1,54521.35,21441.275
11 Jan 2022,10698.6286,3704.8,27161.8857,10862.4286
12 Jan 2022,15747.5062,4358.7531,39968.4444,17640.284
13 Jan 2022,19612.3913,9708.7391,44467.7826,18526.4348
14 Jan 2022,23510.8636,5835.3636,64794.0455,25689
15 Jan 2022,24829.9091,8974.4545,51180.3636,21427
16 Jan 2022,0,0,0,0
17 Jan 2022,0,0,0,0
18 Jan 2022,18928.6579,5557.6053,51074.2105,18242.2895
19 Jan 2022,18875.3256,5383.4419,45910.5349,22433
20 Jan 2022,20887.2857,6479,57580.1071,15811.6429
21 Jan 2022,35630.6111,8744.3889,107434.6111,31657.1111
22 Jan 2022,18737.1818,6151.9242,41787.5152,17440.2727
23 Jan 2022,23094.4783,8284.1957,54160.9565,19208.0652
24 Jan 2022,37336.18,8737.68,95629.28,39529.86
25 Jan 2022,30457.4242,11144.7879,69058.4545,32322.8485
26 Jan 2022,34548.1493,7255.6119,83433.7015,39541.6269
27 Jan 2022,18057.6809,7148.234,39672.3617,19809.8723
28 Jan 2022,9889.35,3327.2,24578.95,11172.95
29 Jan 2022,39631.3333,8751.5952,96779.0952,36203.3095
30 Jan 2022,42641.6852,6635.3519,94408.0926,47838.0741
31 Jan 2022,7161.3,2226.2,20219.1,8493.4